,City,Price,Area,Location,NoofBedrooms,LiftAvailable,Resale
148,Banglore,6611000,1325,Doddanekundi,2,1,0
149,Banglore,6287000,1260,Doddanekundi,2,1,0
150,Banglore,6437000,1290,Doddanekundi,2,1,0
151,Banglore,6112000,1225,Doddanekundi,2,1,0
152,Banglore,6487000,1300,Doddanekundi,2,1,0
153,Banglore,9412000,1247,Dasarahalli on Tumkur Road,2,1,0
154,Banglore,10500000,1486,Dasarahalli on Tumkur Road,3,1,0
155,Banglore,10200000,1433,Dasarahalli on Tumkur Road,3,1,0
156,Banglore,4722000,1152,Kengeri,2,1,0
157,Banglore,4586000,1119,Kengeri,2,1,0
158,Banglore,4582000,1118,Kengeri,2,1,0
159,Banglore,6787000,1656,Kengeri,3,1,0
160,Banglore,9319000,1629,Horamavu,3,1,0
161,Banglore,6892000,1237,Horamavu,2,1,0
162,Banglore,9277000,1275,Bommanahalli,2,0,0
163,Banglore,11600000,1615,Bommanahalli,3,0,0
164,Banglore,10900000,1515,Bommanahalli,3,0,0
165,Banglore,10500000,1455,Bommanahalli,3,0,0
166,Banglore,9859000,1360,Bommanahalli,3,0,0
167,Banglore,6973999,1409,Ramamurthy Nagar,3,1,0
168,Banglore,5705000,1139,Ramamurthy Nagar,2,1,0
169,Banglore,5772000,1154,Ramamurthy Nagar,2,1,0
170,Banglore,6720999,1353,Ramamurthy Nagar,3,1,0
171,Banglore,6761000,1362,Ramamurthy Nagar,3,1,0
172,Banglore,5677000,1133,Ramamurthy Nagar,2,1,0
173,Banglore,5384000,1068,Ramamurthy Nagar,2,1,0
174,Banglore,9141000,1540,Whitefield Hope Farm Junction,3,0,0
175,Banglore,9522000,1610,Whitefield Hope Farm Junction,3,0,0
176,Banglore,10000000,1715,Whitefield Hope Farm Junction,3,0,0
177,Banglore,7211000,1195,Whitefield Hope Farm Junction,2,0,0
178,Banglore,8514000,1425,Whitefield Hope Farm Junction,3,0,0
179,Banglore,10300000,1760,Whitefield Hope Farm Junction,3,0,0
180,Banglore,7783000,1300,Whitefield Hope Farm Junction,2,0,0
181,Banglore,7429000,1235,Whitefield Hope Farm Junction,2,0,0
182,Banglore,7809999,1305,Whitefield Hope Farm Junction,2,0,0
183,Banglore,3506000,660,Electronic City Phase 1,1,0,0
184,Banglore,6250000,1120,Electronic City Phase 1,2,0,0
185,Banglore,6250000,1120,Electronic City Phase 1,2,0,0
186,Banglore,3797999,715,Electronic City Phase 1,1,0,0
187,Banglore,3797999,715,Electronic City Phase 1,1,0,0
188,Banglore,5034000,910,Electronic City Phase 1,2,0,0
189,Banglore,5034000,910,Electronic City Phase 1,2,0,0
190,Banglore,7897000,1430,Electronic City Phase 1,3,0,0
191,Banglore,7897000,1430,Electronic City Phase 1,3,0,0
192,Banglore,5327000,965,Electronic City Phase 1,2,0,0
193,Banglore,5327000,965,Electronic City Phase 1,2,0,0
194,Banglore,8269000,1500,Electronic City Phase 1,3,0,0
195,Banglore,8269000,1500,Electronic City Phase 1,3,0,0
196,Banglore,5958000,1065,Electronic City Phase 1,2,0,0
197,Banglore,5958000,1065,Electronic City Phase 1,2,0,0
198,Banglore,6900000,1273,Yelahanka,2,1,0
